"id";"REF";"STATUS";"DEVICE_CONFIGURATION";"ANTENNA_SYSTEM_CLASS";"TIPO_DE_COBERTURA";"MS_TYPE";"REGIONAL";"UF";"ANF";"MUNICIPIO";"COD_IBGE";"LATITUDE";"LONGITUDE";"END_ID";"GSM_900";"GSM_1800";"UMTS_850";"UMTS_2100";"UMTS_2100_OI";"LTE_700";"LTE_850";"LTE_1800";"LTE_1800_OI";"LTE_2100";"LTE_2100_OI";"LTE_2300";"LTE_2600";"LTE_2600RS";"LTE_2600P";"LTE_2600_OI";"IoT_700";"IoT_850";"IoT_1800";"IoT_2100";"IoT_2600";"IoT_2600P";"mMiMo_1800";"mMiMo_2100";"mMiMo_2300";"mMiMo_2600";"mMiMo_2600P";"SETORES_mMiMo";"CONT_SET_MIMO";"NR_700DSS";"NR_1800DSS";"NR_2100DSS";"NR_2600DSS";"NR_2300";"NR_3500";"NR_26000";"HBBU";"QTDE_LAYERS_2G";"QTDE_LAYERS_3G";"QTDE_LAYERS_4G";"QTDE_LAYERS_MMIMO";"QTDE_LAYERS_5G";"CA_2";"CA_3";"CA_4";"CA_EOY";"LOW_FREQ_ATUAL";"LOW_FREQ_EOY";"HIGH_FREQ_ATUAL";"HIGH_FREQ_EOY";"BANDA_GSM_900";"BANDA_GSM_1800";"BANDA_UMTS_850";"BANDA_UMTS_2100";"BANDA_LTE_700";"BANDA_LTE_850";"BANDA_LTE_1800";"BANDA_LTE_2100";"BANDA_LTE_2300";"BANDA_LTE_2600";"BANDA_LTE_2600P";"BANDA_LTE_2600RS";"BANDA_NR_2300";"BANDA_NR_3500";"BANDA_NR_26000";"ESTAÇÃO";"ESTAÇÃO_2G";"ESTAÇÃO_3G";"ESTAÇÃO_4G";"ESTAÇÃO_5G";"ESTAÇÃO_mMImo";"ESTAÇÃO_IoT";"ESTAÇÃO_BANDA_OI";"ESTAÇÃO_EOY";"ESTAÇÃO_2G_EOY";"ESTAÇÃO_3G_EOY";"ESTAÇÃO_4G_EOY";"ESTAÇÃO_5G_EOY";"ESTAÇÃO_mMImo_EOY";"ESTAÇÃO_IoT_EOY";"ESTAÇÃO_BANDA_OI_EOY";"TIPO_DE_CASA";"VENDOR_GSM_900";"VENDOR_GSM_1800";"VENDOR_UMTS_850";"VENDOR_UMTS_2100";"VENDOR_LTE_700";"VENDOR_LTE_850";"VENDOR_LTE_1800";"VENDOR_LTE_2100";"VENDOR_LTE_2300";"VENDOR_LTE_2600";"VENDOR_LTE_2600RS";"VENDOR_LTE_2600P";"VENDOR_NR_700DSS";"VENDOR_NR_1800DSS";"VENDOR_NR_2100DSS";"VENDOR_NR_2600DSS";"VENDOR_NR_2300";"VENDOR_NR_3500";"VENDOR_NR_26000";"PLO_GSM_900";"PLO_GSM_1800";"PLO_UMTS_850";"PLO_UMTS_2100";"PLO_UMTS_2100_OI";"PLO_UMTS_2600";"PLO_LTE_700";"PLO_LTE_850";"PLO_LTE_1800";"PLO_LTE_1800_OI";"PLO_LTE_2100";"PLO_LTE_2100_OI";"PLO_LTE_2300";"PLO_LTE_2600";"PLO_LTE_2600P";"PLO_LTE_2600_OI";"PLO_mMiMo_1800";"PLO_mMiMo_2100";"PLO_mMiMo_2300";"PLO_mMiMo_2600";"PLO_mMiMo_2600P";"PLO_SETORES_mMiMo";"PLO_NR_700DSS";"PLO_NR_850DSS";"PLO_NR_1800DSS";"PLO_NR_2100DSS";"PLO_NR_2600DSS";"PLO_NR_2600PDSS";"PLO_NR_2300";"PLO_NR_3500";"PLO_NR_26000";"PLO_VENDOR_GSM_900";"PLO_VENDOR_GSM_1800";"PLO_VENDOR_UMTS_850";"PLO_VENDOR_UMTS_2100";"PLO_VENDOR_LTE_700";"PLO_VENDOR_LTE_850";"PLO_VENDOR_LTE_1800";"PLO_VENDOR_LTE_2100";"PLO_VENDOR_LTE_2300";"PLO_VENDOR_LTE_2600";"PLO_VENDOR_LTE_2600P";"PLO_VENDOR_NR_2300";"PLO_VENDOR_NR_3500";"PLO_VENDOR_NR_26000";"OPERADORA_DETENTORA";"TIPO_RS";"MODALIDADE";"CLASS_RS"
2336887;"4-2026";Planilhao;Macro;Greenfield;Outdoor;"Mobile Site 4G;Mobile Site SR";TCO;GO;"62";INHUMAS;"521000";-16.357889;-49.494867;GOIUS_0012;;;;O36250;;;;"4G-OI6250";"4G-OI6250";"4G-OI6250";;;"4G-OI6250";;;"4G-OI6250";;;"4G-OI6250";;;;;;;;;;"0";;;;;;;;;0;1;3;0;0;SIM;SIM;;SIM;;;SIM;SIM;;;;"5";;;"15";"5";;"20";;;;;;1;0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;Casa Existente;;;;HUAWEI;;;HUAWEI;HUAWEI;;HUAWEI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM;RS3;MOCN;TIM Only RS3
2336888;"4-2026";Planilhao;Macro;Greenfield;Outdoor;Mobile Site SR;TCO;GO;"62";INHUMAS;"521000";-16.368469;-49.492442;GOIUS_0013;;;;O36251;;;;"4N-IUSGJ7";"4N-IUSGJ7";"4N-IUSGJ7";;;"4N-IUSGJ7";;;"4N-IUSGJ7";;;"4N-IUSGJ7";;;;;;;;;;"0";;;;;;"5N-IUSGJ7";;;0;1;3;0;1;SIM;SIM;;SIM;;;SIM;SIM;;;;"5";;;"15";"5";;"20";;;;"100";;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;Casa Existente;;;;HUAWEI;;;NOKIA;NOKIA;;NOKIA;;;;;;;;NOKIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM Only
2336889;"4-2026";Planilhao;Macro;Greenfield;Outdoor;Mobile Site SR;TCO;GO;"62";INHUMAS;"521000";-16.378167;-49.479389;GOIUS_0106;;;;;;;;;;;;;"4G-OI6249";;;"4G-OI6249";;;;;;;;;;;;;"0";;;;;;;;;0;0;1;0;0;;;;;;;SIM;SIM;;;;;;;;;;"20";;;;;;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;Casa Existente;;;;;;;;;;HUAWEI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM;RS3;MOCN;TIM Only RS3
2336890;"4-2026";Planilhao GWCN VIVO;Macro;Greenfield;Outdoor;Mobile Site 2G;TCO;GO;"62";INHUMAS;"521000";-16;-49;GOIUS_0127;GIUM1_GO;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Casa Existente;ERICSSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VIVO;Apagado 2G;Roaming Like - GWCN;VIVO Only Apagado 2G
2336891;"4-2026";Planilhao GWCN VIVO;Macro;Greenfield;Outdoor;Mobile Site 2G;TCO;GO;"62";INHUMAS;"521000";-16;-49;GOIUS_0128;GRIU1_GO;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;;;;;;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Casa Existente;ERICSSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;VIVO;Apagado 2G;Roaming Like - GWCN;VIVO Only Apagado 2G
2336892;"4-2026";Planilhao;Macro;Greenfield;Outdoor;"Mobile Site 3G;Mobile Site 4G";TCO;GO;"64";IVOLANDIA;"521160";-16.605806;-50.793222;GOIVD_0002;;;;GO4251;;"4G-IVDG02";;;;"4G-IVDG02";;;;;;;"4G-IVDG02";;;;;;;;;;;;"0";;;;;;;;;0;1;2;0;0;SIM;;;SIM;SIM;SIM;SIM;SIM;;;;"5";"10";;;"10";;;;;;;;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;Casa Existente;;;;ERICSSON;ERICSSON;;;ERICSSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM Only
2336893;"4-2026";Planilhao;Macro;Greenfield;Outdoor;"Mobile Site 2G;Mobile Site 4G";TCO;GO;"64";ITARUMA;"521130";-18.766278;-51.344889;GOIXM_0002;;IXMG02;;;;"4G-IXMG02";;"4G-IXMG02";"4G-IXMG02";;;;;;;;"4G-IXMG02";;"4G-IXMG02";;;;;;;;;;"0";;;;;;;;;1;0;2;0;0;SIM;;;SIM;SIM;SIM;SIM;SIM;;;;;"10";;"15";;;;;;;;;1;1;0;1;0;0;1;1;1;1;0;1;0;0;1;1;Casa Existente;;ERICSSON;;;ERICSSON;;ERICSSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM Only
2336894;"4-2026";Planilhao;Macro;Greenfield;Outdoor;"Mobile Site 2G;Mobile Site 4G";TCO;GO;"64";JANDAIA;"521170";-17.2160555555555;-50.1694166666667;GOJDA_0001;JDAG01;JDAG01;;;;"4G-JDAG01";;;;;;;;;;;"4G-JDAG01";;;;;;;;;;;;"0";;;;;;;;;2;0;1;0;0;;;;;SIM;SIM;;;;;;;"10";;;;;;;;;;;1;1;0;1;0;0;1;0;1;1;0;1;0;0;1;0;Casa Existente;ERICSSON;ERICSSON;;;ERICSSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM Only
2336895;"4-2026";Planilhao;Macro;Greenfield;Outdoor;"Mobile Site 2G;Mobile Site 3G;Mobile Site 4G";TCO;GO;"64";JANDAIA;"521170";-17.031361;-50.13775;GOJDA_0002;JDAG02;JDAG02;;GO5711;;NLJDAG02;;NLJDAG02;NLJDAG02;NLJDAG02;;;;;;;NLJDAG02;;NLJDAG02;;;;;;;;;;"0";;;;;;;;;2;1;3;0;0;SIM;SIM;;SIM;SIM;SIM;SIM;SIM;;;;"5";"20";;"15";"5";;;;;;;;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;Casa Existente;ERICSSON;ERICSSON;;ERICSSON;ERICSSON;;ERICSSON;ERICSSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM;Single Grid - Expansão;MOCN;TIM Only SG Expansão
2336896;"4-2026";Planilhao;Macro;Greenfield;Outdoor;"Mobile Site 3G;Mobile Site 4G";TCO;GO;"64";JAUPACI;"521200";-16.182722;-50.955056;GOJPC_0002;;;;GO4261;;"4G-JPCG02";;;;"4G-JPCG02";;;;;;;"4G-JPCG02";;;;;;;;;;;;"0";;;;;;;;;0;1;2;0;0;SIM;;;SIM;SIM;SIM;SIM;SIM;;;;"5";"10";;;"10";;;;;;;;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;Casa Existente;;;;ERICSSON;ERICSSON;;;ERICSSON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TIM Only
