"IBGE";"REGIONAL";"UF";"MUNICIPIO";"ANF";"POPULACAO_URBANA";"POPULACAO_TOTAL";"PRESENCA";"PRESENCA_5G";"PRESENCA_4G";"PRESENCA_3G";"PRESENCA_2G";"STATUS_PRESENCA";"MES_DIV_PRESENCA";"STATUS_5G";"BANDA_5G_MHZ";"MES_DIV_5G";"COBERTURA_5G_100_BAIRROS";"MES_DIV_100_BAIRROS_5G";"STATUS_4G";"BANDA_4G_MHZ";"MES_DIV_4G";"MES_DIV_700MHZ";"MES_DIV_LOW_FREQ_700_850MHZ";"VOLTE";"CARRIER_AGGREGATION";"NB_IOT";"WTTX";"STATUS_3G";"BANDA_3G_MHZ";"MES_DIV_3G";"STATUS_2G";"BANDA_2G_MHZ";"MES_DIV_2G";"LATITUDE_MUNICIPIO";"LONGITUDE_MUNICIPIO";"COBERTURA_5G_POP_URBANA";"COBERTURA_4G_POP_URBANA";"COBERTURA_3G_POP_URBANA";"COBERTURA_2G_POP_URBANA";"PRESENCA_POP_URBANA";"COBERTURA_5G_POP_TOTAL";"COBERTURA_4G_POP_TOTAL";"COBERTURA_3G_POP_TOTAL";"COBERTURA_2G_POP_TOTAL";"PRESENCA_POP_TOTAL";"PROJETO";"DT_CARGA";"MES_REFERENCIA"
130200;TCN;AM;Itapiranga;"92";8596;10983;1;0;1;1;0;LIBERADO;2021-05-01 00:00:00.000;;;;;;LIBERADO;"1800";2021-05-01 00:00:00.000;;;"2021-05-01 00:00:00";;"2026-01-01 00:00:00";;LIBERADO;"850/2100";2021-05-01 00:00:00.000;;;;-2.749;-58.022;0;8596;8596;0;8596;0;10983;10983;0;10983;ATENDIDO 4G/3G - VIVO EXPANSÃO;2026-03-19 12:47:57.000;"02/2026"
130210;TCN;AM;Japurá;"97";5376;9533;1;0;1;0;0;LIBERADO;2022-09-01 00:00:00.000;;;;;;LIBERADO;"700";2022-09-01 00:00:00.000;2022-09-01 00:00:00.000;2022-09-01 00:00:00.000;"2022-09-01 00:00:00";;"2022-09-01 00:00:00";;;;;;;;-1.826;-66.599;0;5376;0;0;5376;0;9533;0;0;9533;ATENDIDO - TAC 700 / MODELO SKY COVERAGE;2026-03-19 12:47:57.000;"02/2026"
130220;TCN;AM;Juruá;"97";7476;11131;1;0;1;0;1;LIBERADO;2010-05-17 00:00:00.000;;;;;;LIBERADO;"700/1800";2017-12-01 00:00:00.000;2017-12-29 00:00:00.000;2017-12-29 00:00:00.000;"2017-12-01 00:00:00";"2020-10-01 00:00:00";"2019-12-01 00:00:00";;;;;LIBERADO;"900/1800";2010-05-17 00:00:00.000;-3.481;-66.069;0;7476;0;7476;7476;0;11131;0;11131;11131;;2026-03-19 12:47:57.000;"02/2026"
130230;TCN;AM;Jutaí;"97";18235;28399;1;0;1;0;0;LIBERADO;2022-10-01 00:00:00.000;;;;;;LIBERADO;"700";2022-10-01 00:00:00.000;2022-10-01 00:00:00.000;2022-10-01 00:00:00.000;"2022-10-01 00:00:00";;"2022-10-01 00:00:00";;;;;;;;-2.747;-66.767;0;18235;0;0;18235;0;28399;0;0;28399;ATENDIDO - TAC 700 / MODELO SKY COVERAGE;2026-03-19 12:47:57.000;"02/2026"
130240;TCN;AM;Lábrea;"97";30230;49622;1;0;1;0;1;LIBERADO;2017-01-01 00:00:00.000;;;;;;LIBERADO;"700/1800";2018-08-01 00:00:00.000;2019-11-01 00:00:00.000;2019-11-01 00:00:00.000;"2019-05-01 00:00:00";"2019-11-01 00:00:00";"2019-12-01 00:00:00";;;;;LIBERADO;"1800";2017-01-01 00:00:00.000;-7.259;-64.798;0;30230;0;30230;30230;0;49622;0;49622;49622;;2026-03-19 12:47:57.000;"02/2026"
130250;TCN;AM;Manacapuru;"92";73068;112193;1;1;1;1;1;LIBERADO;2004-02-06 00:00:00.000;LIBERADO;"3500";2025-09-01 00:00:00.000;;;LIBERADO;"700/1800";2017-06-01 00:00:00.000;2019-10-01 00:00:00.000;2019-10-01 00:00:00.000;"2018-09-01 00:00:00";"2021-12-01 00:00:00";"2019-12-01 00:00:00";;LIBERADO;"2100";2012-03-04 00:00:00.000;LIBERADO;"1800";2004-02-06 00:00:00.000;-3.3;-60.621;73068;73068;73068;73068;73068;112193;112193;112193;112193;112193;;2026-03-19 12:47:57.000;"02/2026"
130255;TCN;AM;Manaquiri;"92";6400;16582;1;0;1;0;0;LIBERADO;2021-10-01 00:00:00.000;;;;;;LIBERADO;"700";2021-10-01 00:00:00.000;2021-10-01 00:00:00.000;2021-10-01 00:00:00.000;"2021-10-01 00:00:00";;"2021-10-01 00:00:00";;;;;;;;-3.428;-60.459;0;6400;0;0;6400;0;16582;0;0;16582;ATENDIDO - TAC 700 / MODELO SKY COVERAGE;2026-03-19 12:47:57.000;"02/2026"
130260;TCN;AM;Manaus;"92";2279860;2302185;1;1;1;1;1;LIBERADO;2002-03-29 00:00:00.000;LIBERADO;"3500";2022-10-01 00:00:00.000;LIBERADO;2025-07-01 00:00:00.000;LIBERADO;"700/1800/2600";2013-10-31 00:00:00.000;2017-10-01 00:00:00.000;2017-10-01 00:00:00.000;"2017-10-01 00:00:00";"2018-06-01 00:00:00";"2019-12-01 00:00:00";Liberada;LIBERADO;"2100";2009-12-01 00:00:00.000;LIBERADO;"900/1800";2002-03-29 00:00:00.000;-3.102;-60.025;2279860;2279860;2279860;2279860;2279860;2302185;2302185;2302185;2302185;2302185;;2026-03-19 12:47:57.000;"02/2026"
130270;TCN;AM;Manicoré;"97";33211;58335;1;0;1;1;0;LIBERADO;2018-12-01 00:00:00.000;;;;;;LIBERADO;"700/1800/2100";2020-12-01 00:00:00.000;2020-12-01 00:00:00.000;2020-12-01 00:00:00.000;"2020-12-01 00:00:00";"2024-03-01 00:00:00";"2021-04-01 00:00:00";;LIBERADO;"2100";2018-12-01 00:00:00.000;;;;-5.809;-61.3;0;33211;33211;0;33211;0;58335;58335;0;58335;;2026-03-19 12:47:57.000;"02/2026"
130280;TCN;AM;Maraã;"97";7993;15661;1;0;1;0;0;LIBERADO;2021-10-01 00:00:00.000;;;;;;LIBERADO;"700";2021-10-01 00:00:00.000;2021-10-01 00:00:00.000;2021-10-01 00:00:00.000;"2021-10-01 00:00:00";;"2021-10-01 00:00:00";;;;;;;;-1.856;-65.581;0;7993;0;0;7993;0;15661;0;0;15661;ATENDIDO - TAC 700 / MODELO SKY COVERAGE;2026-03-19 12:47:57.000;"02/2026"
