"ORDEM_COMPLEXA";"STATUS_OC";"PLANO";"PRIORIDADE";"ID_MASTER_PIVOT";"MACRO_CLASS";"CLASSIFICACAO_CASA";"TECNOLOGIA";"COD_IBGE"
610795;ACTIVATED;2026;REMANEJAMENTO;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;CASA EXISTENTE;"3G";313120
645978;ACTIVATED;2026;REMANEJAMENTO;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;NEW SITE;"4G";355070
655760;ACTIVATED;2026;REMANEJAMENTO;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;NEW SITE;"3G";150460
657501;ACTIVATED;2026;REMANEJAMENTO;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;CASA EXISTENTE;"2G";314200
670843;ACTIVATED;2026;INDOOR CARRYOVER;CARRYOVER (POSTERG.);CARRYOVER (POSTERG.);NEW SITE;"4G";410690
725381;ACTIVATED;2026;REMANEJAMENTO;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;NEW SITE;"4G";412625
740025;ACTIVATED;2026;SITES CAROS;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;CASA EXISTENTE;"2G";420100
744490;ACTIVATED;2026;REMANEJAMENTO;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;NEW SITE;"4G";354100
755450;ACTIVATED;2026;REMANEJAMENTO;REMANEJAMENTO ACESSO;REMANEJAMENTO ACESSO;CASA EXISTENTE;"2G";411730
756606;ACTIVATED;2026;ATENDIMENTO SATELITE;-;-;CASA EXISTENTE;"2G";320010
