"ESTADO";"MUNICIPIO_NOME";"MUNICIPIO_ID";"ANF";"OPERADORA";"QTEUSR";"QTD_USER_VOZ_DADOS";"QTD_USER_VOZ_0";"QTD_USER_0_DADOS";"QTD_USER_0_0";"GSM_USERS";"UMTS_USERS";"LTE_USERS";"NF_USERS";"GSM_USERS_DADOS";"UMTS_USERS_DADOS";"LTE_USERS_DADOS";"NF_USERS_DADOS";"CONTROLE_ASS";"POSPAGO_ASS";"PREPAGO_ASS";"NF_ASS";"DIAMOND_SEG";"GOLD_SEG";"SILVER_SEG";"STD_HIGH_SEG";"STD_LOW_SEG";"NF_SEG";"S_MINUTOS_2G";"S_MINUTOS_3G";"S_MINUTOS_4G";"S_MINUTOS_TOTAL";"S_MEGABYTE_2G";"S_MEGABYTE_3G";"S_MEGABYTE_4G";"S_MEGABYTE_5G_NSA";"S_MEGABYTE_5G_SA";"S_MEGABYTE_TOTAL";"QTD_SINGLE_SIM";"QTD_MULTI_SIM";"QTD_NID_SIM";"QTD_CHIP_LTE";"QTD_CHIP_NAO_LTE";"MEGABYTE_PRE_PAGO";"MEGABYTE_POS_PAGO";"MEGABYTE_CONTROLE";"MEGABYTE_NID";"MINUTOS_PRE_PAGO";"MINUTOS_POS_PAGO";"MINUTOS_CONTROLE";"MINUTOS_NID";"DT_REFERENCIA";"DT_CARGA"
AL;CACIMBINHAS;270120;82;TIM;31754;3339;291;22680;5444;336;84;30314;1020;224;66;24913;816;10183;4882;16477;0;83;1254;5531;2615;8238;14033;12896.0125;0;50517.6733333333;63401.6191666667;24784.7000770569;0;6905265.29406548;73.4992446899414;0;6930155.70895576;7107;23627;1020;30912;842;2704543.8143034;985870.455979347;3239696.79637146;0;39198.3295;4986.323;19196.923;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CAJUEIRO;270130;82;TIM;48752;13622;878;26836;7416;505;190;46299;1758;247;149;38887;1175;13727;6517;27263;0;118;1580;7357;3630;13638;22429;46087.6855;84149.7463333333;291040.08;420343.7085;24281.5010223389;1584875.98243237;19247098.4983482;24477.5131435394;0;20880739.9238338;10693;36301;1758;47725;1027;8741771.51080799;2619421.54315567;9519189.96756172;0;245137.747166667;51284.7081666667;123529.328833333;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CAMPESTRE;270135;82;TIM;47761;1027;61;38441;8232;78;180;45905;1598;62;148;37955;1303;16372;16658;14534;0;277;3726;9006;2802;9010;22940;0;2505.011;6334.96333333333;8824.64766666667;0;125799.529898643;1441626.72089005;0.0464372634887695;0;1567426.29722595;14537;31626;1598;47281;480;542223.037750244;329338.506605148;695430.30888176;0;4509.1675;2122.84516666667;2178.786;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CAMPO ALEGRE;270140;82;TIM;162945;16278;1872;114491;30304;1700;546;154784;5915;1214;427;124483;4645;55038;35529;70989;0;653;8609;29461;12274;39479;72469;158658.0925;36998.457;190221.146666667;385433.842833333;89020.9437580109;553809.25702858;30034520.2812443;2733623.77247524;381.947244644165;33411443.9674139;41559;115471;5915;159824;3121;11222667.1231995;5797458.78073311;16390328.2446022;0;230210.765;27498.1578333333;127551.309833333;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CAMPO GRANDE;270150;82;TIM;76411;7600;543;54273;13995;243;114;73359;2695;121;85;59484;2183;24334;14711;36951;0;271;3478;11683;5358;18658;36963;20825.5138333333;28570.8503333333;146629.496666667;195747.904166667;723.339472770691;659687.074753761;16776599.7715235;54.3520030975342;0;17437075.2289171;16386;57330;2695;75837;574;7354381.45713997;2340961.04333878;7741409.44465923;0;122143.586666667;10796.25;62686.8356666667;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CAMPO GRANDE;270150;82;OI;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CANAPI;270160;82;TIM;30494;1041;69;23547;5837;103;97;29362;932;85;80;23657;766;9447;7186;13750;0;105;1701;5318;2050;6507;14813;0;1453.1645;6037.34333333333;7486.0745;0;136562.485913277;2558783.74450493;0.103033065795898;0;2695347.99548531;6758;22804;932;29864;630;976145.224520683;549650.065364838;1169544.30736446;0;2938.52983333333;1315.79116666667;3229.16733333333;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CANAPI;270160;82;OI;2;0;0;1;1;0;0;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0.000329971313476563;0;0;0.000329971313476563;1;1;0;2;0;0.000329971313476563;0;0;0;0;0;0;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CAPELA;270170;82;TIM;44741;10565;697;26571;6908;387;139;42631;1584;191;102;35755;1088;13535;6085;24505;0;122;1517;7047;3332;12304;20419;51451.1073333333;84726.0368333333;214194.023333333;349322.6075;56918.2780780792;1261409.48130131;15158389.2070198;3383865.3301239;3659.91612529755;19864253.0637426;10193;32964;1584;43865;876;6674856.36507702;3312558.63555527;9876543.33411026;0;195629.529;32730.9871666667;120844.885833333;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CARNEIROS;270180;82;TIM;27119;2023;139;20244;4713;6;63;26136;914;4;50;21457;756;8242;3950;14776;0;57;1001;4353;2043;6920;12745;0;7240.808;28939.5133333333;36044.8346666667;0;353641.852272034;4383156.96343422;587.91884803772;0;4737386.73455429;5934;20271;914;26682;437;2427283.84935951;588937.491801262;1720562.09216022;0;18417.3426666667;1820.83933333333;15798.5975;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CHA PRETA;270190;82;TIM;13700;1259;73;9426;2942;11;23;13230;436;8;20;10281;376;4208;1990;7495;0;43;496;2029;990;3724;6418;0;0;9574.49;9574.49;0;0;2234862.4056921;0.417069435119629;0;2234874.84994507;2790;10474;436;13688;12;792308.565150261;336826.605847359;1105728.20970821;0;5262.67666666667;1203.66333333333;3108.15;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;COITE DO NOIA;270200;82;TIM;54931;1464;97;41476;11894;119;76;52967;1769;87;59;41336;1458;19544;9004;26233;0;150;2230;10175;4629;15079;22668;990.9575;10915.383;74.58;11965.2205;371.32091999054;66294.2031202316;2590699.7769537;3208.74816036224;0;2660594.44585896;12552;40610;1769;54639;292;862303.859471321;467905.445194244;1329116.53868198;0;5105.90333333333;670.111666666667;6183.247;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;COLONIA LEOPOLDINA;270210;82;TIM;35985;6950;446;23009;5580;736;296;33746;1207;624;256;28312;767;9468;12455;13107;0;137;2172;5685;2230;7550;18211;34577.9765;0;88308.7233333333;122769.863166667;32555.0401477814;0;11390223.3353729;0;0;11422795.1755781;9637;25141;1207;34992;993;4754908.39704132;1619682.11491299;5048182.27406025;0;80451.658;9176.49783333333;32817.2935;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;COQUEIRO SECO;270220;82;TIM;13454;1789;113;10022;1530;5;51;13024;374;4;47;11441;319;5384;1899;6092;0;21;415;1707;805;3386;7120;0;4170.43333333333;23232.0366666667;27277.68;0;113320.71260643;3165758.22878838;2720.50328445435;0;3281811.89858913;3294;9786;374;13339;115;1271990.36154938;514609.421777725;1494853.93842506;0;10896.488;2855.66333333333;13521.0245;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CORURIPE;270230;82;TIM;47816;11042;728;29390;6656;515;178;45316;1807;351;144;38568;1369;16333;8944;22076;0;170;2128;8431;3822;12076;21189;32701.2213333333;29428.4141666667;140088.07;202093.882166667;100358.285105705;1012328.26585865;26818185.6099863;0.618243217468262;0;27931010.7629509;11612;34397;1807;46507;1309;8435100.52156639;6427812.01943588;13066081.0724306;0;81606.7278333333;33710.7995;86719.8883333333;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
AL;CORURIPE;270230;82;OI;11;0;1;6;4;1;1;9;0;1;1;4;0;2;3;3;0;1;0;0;0;0;10;2.5195;0;0;2.5195;3.55910682678223;0;0;0;0;3.55910682678223;7;4;0;9;2;0;3.21874618530273;0;0;2.5195;0;0;0;2026-03-01 00:00:00.000;2026-07-16 10:51:50.000
