"SCENARIO";"TECH";"TIPO_CASA";"CAC"
"2025 ACTUAL";"4G";CE;771
"2025 ACTUAL";"4G";CN;1027
"2025 ACTUAL";"5G";CE;2850
"2025 ACTUAL";"5G";CN;982
"2026 ANTECIPO V02";"4G";CE;31
"2026 ANTECIPO V02";"4G";CN;252
"2026 ANTECIPO V02";"5G";CE;1120
"2026 ANTECIPO V02";"5G";CN;187
"2026 CAC (26-28) V02";"4G";CE;539
"2026 CAC (26-28) V02";"4G";CN;755
"2026 CAC (26-28) V02";"5G";CE;6541
"2026 CAC (26-28) V02";"5G";CN;245.00000000000004
"2026 FCST 4+8 V0";"4G";CE;650.795225211
"2026 FCST 4+8 V0";"4G";CN;758.9999999999995
"2026 FCST 4+8 V0";"5G";CE;6557.00000000000002
"2026 FCST 4+8 V0";"5G";CN;252.00000000000004
"2026 FCST 6+6 V0";"4G";CE;754.795225211
"2026 FCST 6+6 V0";"4G";CN;805.9999999999995
"2026 FCST 6+6 V0";"5G";CE;6472.9999999999997
"2026 FCST 6+6 V0";"5G";CN;253.00000000000004
"2026 FCST 6+6 V01";"4G";CE;754.795225211
"2026 FCST 6+6 V01";"4G";CN;805.9999999999995
"2026 FCST 6+6 V01";"5G";CE;6472.9999999999997
"2026 FCST 6+6 V01";"5G";CN;253.00000000000004
"2026 FCST 6+6 V02";"4G";CE;754.795225211
"2026 FCST 6+6 V02";"4G";CN;805.9999999999995
"2026 FCST 6+6 V02";"5G";CE;6472.9999999999997
"2026 FCST 6+6 V02";"5G";CN;253.00000000000004
"2026 NEW PLAN (26-28) V09";"4G";CE;539.0000000000002
"2026 NEW PLAN (26-28) V09";"4G";CN;755
"2026 NEW PLAN (26-28) V09";"5G";CE;1749
"2026 NEW PLAN (26-28) V09";"5G";CN;245
"2026 OLD PLAN (26-28) V0";"4G";CE;53
"2026 OLD PLAN (26-28) V0";"4G";CN;603
"2026 OLD PLAN (26-28) V0";"5G";CE;2945
"2026 OLD PLAN (26-28) V0";"5G";CN;177
"2027 CAC (26-28) V02";"4G";CE;168
"2027 CAC (26-28) V02";"4G";CN;752
"2027 CAC (26-28) V02";"5G";CE;3938
"2027 CAC (26-28) V02";"5G";CN;342
"2027 NEW PLAN (27-29) V0";"4G";CE;168
"2027 NEW PLAN (27-29) V0";"4G";CN;752
"2027 NEW PLAN (27-29) V0";"5G";CE;3938
"2027 NEW PLAN (27-29) V0";"5G";CN;342
"2027 OLD PLAN (26-28) V0";"4G";CE;70
"2027 OLD PLAN (26-28) V0";"4G";CN;896
"2027 OLD PLAN (26-28) V0";"5G";CE;2674
"2027 OLD PLAN (26-28) V0";"5G";CN;560
"2028 CAC (26-28) V02";"4G";CE;175
"2028 CAC (26-28) V02";"4G";CN;963
"2028 CAC (26-28) V02";"5G";CE;1837
"2028 CAC (26-28) V02";"5G";CN;783
"2028 NEW PLAN (27-29) V0";"4G";CE;175
"2028 NEW PLAN (27-29) V0";"4G";CN;963
"2028 NEW PLAN (27-29) V0";"5G";CE;1837
"2028 NEW PLAN (27-29) V0";"5G";CN;783
"2029 NEW PLAN (27-29) V0";"4G";CE;175
"2029 NEW PLAN (27-29) V0";"4G";CN;963
"2029 NEW PLAN (27-29) V0";"5G";CE;1837
"2029 NEW PLAN (27-29) V0";"5G";CN;783
