"SCENARIO";"TIPO_CASA";"DLV_LEVEL_2";"5G LAYERS";"4G LAYERS";"4G IN 5G LAYERS";"TOTAL_CAC";"VALOR_TOTAL_MM"
"2025 ACTUAL";CN;AGRO;1;82;0;140;0
"2025 ACTUAL";CN;AÇÃO JUDICIAL;0;0;0;0;0
"2025 ACTUAL";CN;COB. DISCRICIONÁRIA;0;0;0;0;0
"2025 ACTUAL";CN;COP 30;0;0;0;0;0
"2025 ACTUAL";CN;ECC;0;374;0;374;0
"2025 ACTUAL";CN;INDOOR;0;0;0;0;0
"2025 ACTUAL";CN;INDÚSTRIA;0;9;0;10;0
"2025 ACTUAL";CN;LOGÍSTICA;0;168;0;320;0
"2025 ACTUAL";CN;OBLIGATION 2.3GHZ;0;147;0;147;0
"2025 ACTUAL";CN;OBLIGATION 3.5GHZ;981;0;540;1521;0
"2025 ACTUAL";CN;OTHERS;0;235;0;235;0
"2025 ACTUAL";CN;PADO;0;12;0;12;0
"2025 ACTUAL";CE;ACORDO VIVO;0;53;0;53;0
"2025 ACTUAL";CE;AGRO;0;22;0;70;0
"2025 ACTUAL";CE;COB. DISCRICIONÁRIA;0;0;0;0;0
"2025 ACTUAL";CE;COP 30;0;0;0;0;0
"2025 ACTUAL";CE;ECC;0;466;0;466;0
"2025 ACTUAL";CE;INDÚSTRIA;0;1;0;10;0
"2025 ACTUAL";CE;LOGÍSTICA;0;58;0;132;0
"2025 ACTUAL";CE;OBLIGATION 3.5GHZ;1393;0;257;1650;0
"2025 ACTUAL";CE;OTHERS;0;224;0;224;0
"2025 ACTUAL";CE;UPSIDE;1200;0;0;1200;0
"2026 CAC (26-28) V02";CN;AGRO;0;133;0;246;39.62
"2026 CAC (26-28) V02";CN;DENSIFICAÇÃO 5G;0;0;0;0;0
"2026 CAC (26-28) V02";CN;ECC;50.00000000000004;0;50.00000000000004;100.00000000000008;9.36
"2026 CAC (26-28) V02";CN;EVENTOS SAZONAIS;0;93;0;93;8.49
"2026 CAC (26-28) V02";CN;INDÚSTRIA;8;23;0;41;5.18
"2026 CAC (26-28) V02";CN;LOGÍSTICA;0;289;0;562;14.74
"2026 CAC (26-28) V02";CN;NOVAS CIDADES 5G;0;0;0;0;0
"2026 CAC (26-28) V02";CN;OBLIGATION 2.3GHZ;0;217;0;217;16.79
"2026 CAC (26-28) V02";CN;OBLIGATION 3.5GHZ;187;0;165;352;43.13
"2026 CAC (26-28) V02";CN;RQUAL;0;0;0;0;0
"2026 CAC (26-28) V02";CE;ACORDO VIVO;0;121;0;121;11.53
"2026 CAC (26-28) V02";CE;AGRO;0;12;0;44;1.22
"2026 CAC (26-28) V02";CE;DENSIFICAÇÃO 5G;1271;0;0;1271;227
"2026 CAC (26-28) V02";CE;ECC;0;0;0;0;0.14
"2026 CAC (26-28) V02";CE;EVENTOS SAZONAIS;0;0;0;0;0.26
"2026 CAC (26-28) V02";CE;INDÚSTRIA;0;0;0;21;1.17
"2026 CAC (26-28) V02";CE;LOGÍSTICA;0;56;0;128;1.4
"2026 CAC (26-28) V02";CE;NOVAS CIDADES 5G;212;0;0;212;37.28
"2026 CAC (26-28) V02";CE;OBLIGATION 2.3GHZ;0;0;0;0;0.6
"2026 CAC (26-28) V02";CE;OBLIGATION 3.5GHZ;1689;0;67;1756;303.21
"2026 CAC (26-28) V02";CE;PADO;0;0;0;0;0
"2026 CAC (26-28) V02";CE;RQUAL;0;471;0;471;23.3
"2026 FCST 4+8 V0";CN;ACORDO VIVO;0;3;0;3;0.44
"2026 FCST 4+8 V0";CN;AGRO;0;133;0;246;39.62
"2026 FCST 4+8 V0";CN;DENSIFICAÇÃO 5G;0;0;0;0;0
"2026 FCST 4+8 V0";CN;ECC;50.00000000000004;0;50.00000000000004;100.00000000000008;9.36
"2026 FCST 4+8 V0";CN;EVENTOS SAZONAIS;0;93;0;93;8.49
"2026 FCST 4+8 V0";CN;INDÚSTRIA;8;23;0;41;5.18
"2026 FCST 4+8 V0";CN;LOGÍSTICA;0;289;0;562;14.74
